Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,Covers
Summary,43,,,SM,,,0.0
Summary,73,,,SK,,,0.0
Summary,6,,,UU,,,0.0
Summary,50,,,TD,,,0.0
Summary,70,,,MK,,,0.0
Summary,6,,,TB,,,0.0
Details,,2024-10-15 16:01:33+00:00,11570,SM,,,0.0
Details,,2024-10-12 20:53:15+00:00,11369,SK,,,0.0
Details,,2024-10-13 23:13:30+00:00,11514,UU,,,0.0
Details,,2024-10-12 20:36:07+00:00,11366,SK,,,0.0
Details,,2024-10-13 21:38:55+00:00,11494,TD,,,0.0
Details,,2024-10-05 21:08:39+00:00,10935,SM,,,0.0
Details,,2024-10-09 22:25:16+00:00,11176,TD,,,0.0
Details,,2024-10-05 21:35:24+00:00,10938,SK,,,0.0
Details,,2024-10-17 23:25:24+00:00,11717,SK,,,0.0
Details,,2024-10-03 21:59:03+00:00,10831,SK,,,0.0
Details,,2024-10-13 22:42:25+00:00,11507,SK,,,0.0
Details,,2024-10-18 00:04:58+00:00,11724,SK,,,0.0
Details,,2024-10-15 23:02:14+00:00,11608,SK,,,0.0
Details,,2024-10-12 23:10:07+00:00,11398,MK,,,0.0
Details,,2024-10-14 21:16:42+00:00,11546,SM,,,0.0
Details,,2024-10-07 23:47:17+00:00,11101,MK,,,0.0
Details,,2024-10-06 19:52:20+00:00,11007,UU,,,0.0
Details,,2024-10-03 20:07:56+00:00,10814,MK,,,0.0
Details,,2024-10-06 22:06:15+00:00,11036,SK,,,0.0
Details,,2024-10-10 18:55:02+00:00,11197,SK,,,0.0
Details,,2024-10-12 22:46:37+00:00,11385,MK,,,0.0
Details,,2024-10-03 21:49:27+00:00,10828,SK,,,0.0
Details,,2024-10-06 22:21:06+00:00,11040,MK,,,0.0
Details,,2024-10-17 23:37:36+00:00,11720,MK,,,0.0
Details,,2024-10-09 21:02:22+00:00,11170,MK,,,0.0
Details,,2024-10-05 23:24:13+00:00,10960,SM,,,0.0
Details,,2024-10-15 23:11:52+00:00,3116,TB,,,0.0
Details,,2024-10-05 19:52:22+00:00,10919,SK,,,0.0
Details,,2024-10-15 21:50:30+00:00,11593,SK,,,0.0
Details,,2024-10-06 20:30:15+00:00,11016,MK,,,0.0
Details,,2024-10-04 21:46:23+00:00,10871,TD,,,0.0
Details,,2024-10-12 20:04:31+00:00,11356,UU,,,0.0
Details,,2024-10-05 22:34:42+00:00,2959,SK,,,0.0
Details,,2024-10-13 22:31:28+00:00,3090,MK,,,0.0
Details,,2024-10-13 20:23:02+00:00,3081,TD,,,0.0
Details,,2024-10-12 23:09:19+00:00,3062,MK,,,0.0
Details,,2024-10-15 23:18:00+00:00,3117,SM,,,0.0
Details,,2024-10-15 00:07:09+00:00,3105,MK,,,0.0
Details,,2024-10-10 23:13:10+00:00,3026,SK,,,0.0
Details,,2024-10-17 21:03:43+00:00,11694,TB,,,0.0
Details,,2024-10-08 00:33:27+00:00,11103,MK,,,0.0
Details,,2024-10-10 21:42:00+00:00,11212,SK,,,0.0
Details,,2024-10-07 22:49:14+00:00,2990,SM,,,0.0
Details,,2024-10-07 21:47:37+00:00,2986,TD,,,0.0
Details,,2024-10-13 22:08:10+00:00,3087,TD,,,0.0
Details,,2024-10-17 23:33:27+00:00,3146,SM,,,0.0
Details,,2024-10-15 16:16:16+00:00,3109,SM,,,0.0
Details,,2024-10-12 22:44:28+00:00,3057,TD,,,0.0
Details,,2024-10-06 21:30:05+00:00,2972,SK,,,0.0
Details,,2024-10-03 21:34:04+00:00,2921,MK,,,0.0
Details,,2024-10-17 23:04:48+00:00,3142,SK,,,0.0
Details,,2024-10-07 22:07:33+00:00,2987,MK,,,0.0
Details,,2024-10-06 22:20:46+00:00,2978,MK,,,0.0
Details,,2024-10-05 23:02:46+00:00,2960,SM,,,0.0
Details,,2024-10-07 22:50:30+00:00,2991,TD,,,0.0
Details,,2024-10-14 23:53:11+00:00,3103,TB,,,0.0
Details,,2024-10-12 22:46:29+00:00,3058,MK,,,0.0
Details,,2024-10-17 23:16:39+00:00,3144,MK,,,0.0
Details,,2024-10-17 21:56:12+00:00,3139,SK,,,0.0
Details,,2024-10-03 23:47:23+00:00,2934,MK,,,0.0
Details,,2024-10-04 00:10:16+00:00,2936,MK,,,0.0
Details,,2024-10-04 23:12:58+00:00,2948,TD,,,0.0
Details,,2024-10-03 23:12:55+00:00,2933,SM,,,0.0
Details,,2024-10-13 23:52:57+00:00,3097,MK,,,0.0
Details,,2024-10-17 20:33:02+00:00,3135,MK,,,0.0
Details,,2024-10-03 21:30:22+00:00,2920,SK,,,0.0
Details,,2024-10-15 22:43:45+00:00,3113,TD,,,0.0
Details,,2024-10-04 21:07:25+00:00,2940,TD,,,0.0
Details,,2024-10-05 21:45:08+00:00,2958,SM,,,0.0
Details,,2024-10-04 22:54:30+00:00,2947,TD,,,0.0
Details,,2024-10-17 23:35:48+00:00,3147,SM,,,0.0
Details,,2024-10-06 23:11:59+00:00,2983,SM,,,0.0
Details,,2024-10-03 22:20:11+00:00,2927,MK,,,0.0
Details,,2024-10-05 23:16:11+00:00,2962,SM,,,0.0
Details,,2024-10-12 21:34:47+00:00,3056,SK,,,0.0
Details,,2024-10-18 00:13:00+00:00,3151,SK,,,0.0
Details,,2024-10-10 22:41:25+00:00,3024,SK,,,0.0
Details,,2024-10-06 21:48:32+00:00,2974,SK,,,0.0
Details,,2024-10-03 23:09:07+00:00,2932,MK,,,0.0
Details,,2024-10-06 22:35:38+00:00,2980,SM,,,0.0
Details,,2024-10-03 23:03:08+00:00,2930,MK,,,0.0
Details,,2024-10-17 23:08:02+00:00,3143,MK,,,0.0
Details,,2024-10-09 23:11:12+00:00,3013,MK,,,0.0
Details,,2024-10-04 22:32:40+00:00,2944,TD,,,0.0
Details,,2024-10-06 23:39:24+00:00,2984,SK,,,0.0
Details,,2024-10-13 00:58:30+00:00,3069,SK,,,0.0
Details,,2024-10-13 23:22:45+00:00,3096,TD,,,0.0
Details,,2024-10-13 00:59:17+00:00,3070,SK,,,0.0
Details,,2024-10-18 00:08:50+00:00,3150,MK,,,0.0
Details,,2024-10-17 21:46:46+00:00,3138,MK,,,0.0
Details,,2024-10-10 23:19:16+00:00,3027,SK,,,0.0
Details,,2024-10-06 22:17:50+00:00,2977,MK,,,0.0
Details,,2024-10-05 21:38:09+00:00,2957,TD,,,0.0
Details,,2024-10-04 21:30:19+00:00,2941,TD,,,0.0
Details,,2024-10-10 22:38:13+00:00,3023,SM,,,0.0
Details,,2024-10-13 23:16:55+00:00,3095,SK,,,0.0
Details,,2024-10-13 00:01:52+00:00,3065,MK,,,0.0
Details,,2024-10-10 20:32:57+00:00,3019,SK,,,0.0
Details,,2024-10-15 22:04:49+00:00,3111,SM,,,0.0
Details,,2024-10-05 23:03:14+00:00,2961,SK,,,0.0
Details,,2024-10-06 20:57:40+00:00,2970,MK,,,0.0
Details,,2024-10-04 21:47:05+00:00,2943,SM,,,0.0
Details,,2024-10-13 00:33:12+00:00,3068,MK,,,0.0
Details,,2024-10-12 22:57:37+00:00,3060,SK,,,0.0
Details,,2024-10-13 22:45:15+00:00,11508,UU,,,0.0
Details,,2024-10-15 00:33:13+00:00,3106,SM,,,0.0
Details,,2024-10-09 22:02:59+00:00,3009,TD,,,0.0
Details,,2024-10-03 22:07:54+00:00,2926,SK,,,0.0
Details,,2024-10-03 20:31:33+00:00,2918,MK,,,0.0
Details,,2024-10-13 00:26:27+00:00,3066,MK,,,0.0
Details,,2024-10-13 23:59:47+00:00,3098,MK,,,0.0
Details,,2024-10-10 00:43:35+00:00,3015,TD,,,0.0
Details,,2024-10-18 00:43:44+00:00,3152,MK,,,0.0
Details,,2024-10-07 22:41:05+00:00,2988,MK,,,0.0
Details,,2024-10-13 21:17:39+00:00,3084,MK,,,0.0
Details,,2024-10-05 23:36:46+00:00,2964,SM,,,0.0
Details,,2024-10-10 23:06:47+00:00,3025,SM,,,0.0
Details,,2024-10-12 23:05:13+00:00,3061,MK,,,0.0
Details,,2024-10-06 21:36:10+00:00,2973,SK,,,0.0
Details,,2024-10-03 21:25:33+00:00,2919,SM,,,0.0
Details,,2024-10-04 00:16:51+00:00,2937,SK,,,0.0
Details,,2024-10-06 23:45:47+00:00,2985,SK,,,0.0
Details,,2024-10-14 23:27:23+00:00,3102,TB,,,0.0
Details,,2024-10-04 22:42:31+00:00,10887,UU,,,0.0
Details,,2024-10-10 21:03:12+00:00,11208,SM,,,0.0
Details,,2024-10-03 23:49:57+00:00,2935,MK,,,0.0
Details,,2024-10-13 00:27:50+00:00,3067,SK,,,0.0
Details,,2024-10-06 21:58:33+00:00,2975,MK,,,0.0
Details,,2024-10-04 19:50:03+00:00,2939,MK,,,0.0
Details,,2024-10-06 21:15:48+00:00,2971,MK,,,0.0
Details,,2024-10-10 00:19:04+00:00,3014,MK,,,0.0
